id,ril_code,seed_weight,seed_size,seed_length,seed_circularity,seed_yield,fresh_gmax,fresh_t50,fresh_u7525,fresh_auc,strat_gmax,strat_t50,strat_u7525,strat_auc,35C_gmax,35C_t50,35C_u7525,35C_auc,nacl5_gmax,nacl5_t50,nacl5_u7525,nacl5_auc,36C_gmax,36C_t50,36C_u7525,36C_auc,36C_25C_gmax,36C_ga_gmax,36C_dead_gmax,peg5_gmax,peg5_t50,peg5_u7525,peg5_auc,12C_gmax,12C_t50,12C_u7525,12C_auc,h2o2_gmax,h2o2_t50,h2o2_u7525,h2o2_auc,peg3_gmax,peg3_t50,peg3_u7525,peg3_auc,nacl3_gmax,nacl3_t50,nacl3_u7525,nacl3_auc,fresh_shoot,dry_shoot,fresh_root,dry_root,hypocotyl_length
239,33,1.68634666,3.547642348,2.960424185,0.742413521,3454,0.792592593,69.15139008,22.69895172,100.2530136,0.985185185,64.07268524,13.15055847,53.90203857,0.507407407,87.56201935,23.69954681,56.71383286,0.051851852,161.167099,54.93356323,5.401836395,0.018518519,71.71323395,12.60986328,11.34023952,0.007407407,0.955555556,0.003703704,0.338888889,176.2316742,61.63256454,10.17619228,0.893518519,269.3406067,56.55118942,38.12852097,0.587037037,193.5807037,56.8993721,10.99688435,0.368518519,140.08078,43.57720947,22.30350494,0.92962963,84.62194061,22.18453789,104.8749008,26.76,2.25,13.71,1.12,2.26
240,34,2.251382716,4.612841932,2.872081995,0.830098242,523,0.87962963,91.59168243,47.83239746,89.50836182,0.9,72.90561676,29.94350243,41.54324722,0.558333333,104.965416,53.37408066,47.2650795,0.583333333,142.5510406,60.71308899,32.84215927,0.033333333,NA,NA,NA,0.183333333,0.683333333,0,0.45,196.8039093,30.52939796,4.406897545,0.966666667,356.6976013,129.8505402,14.41684055,0,NA,NA,NA,0.283333333,128.4215698,45.49721146,6.013862133,0.858333333,80.55477142,34.26859665,96.96904755,26.91,2.16,9.84,1.01,2.19
241,35,1.322650674,3.016566774,2.753891945,0.741495013,8052.5,0.996296296,38.44569397,9.087861061,159.4494019,0.996296296,36.29999924,6.936431408,82.58581543,0.977777778,58.17281723,18.6213398,136.2798004,0.618518519,101.0155411,42.81692123,58.87878036,0.5,78.50113678,34.62511444,76.43332672,0.192592593,0.307407407,-0.003703704,0.640740741,183.5271454,38.14979935,14.91837025,0.966666667,212.3324738,67.03209686,88.44293213,0.281481481,223.5941925,75.23922729,5.681344986,0.540740741,93.66701508,39.50936508,55.5049324,0.966666667,61.12739944,14.06730652,131.8772125,35.07,2,12.16,0.98,3.48
242,36,1.902059271,3.836180536,2.833302855,0.804801255,4762.5,0.981642512,43.99533081,8.697704315,152.3116913,0.996296296,41.07661819,8.258923531,77.52217865,0.996296296,56.10548401,15.57932949,141.0103302,0.925925926,87.20480347,31.42437553,102.5540466,0.677777778,82.6029129,35.30532837,76.88467407,0.074074074,0.240740741,0.003703704,0.685185185,138.246933,65.67577362,42.31938553,0.37037037,409.2401428,83.12221527,3.641865492,1,117.2368469,25.66719055,80.85888672,0.992592593,82.49217987,31.2828846,112.084053,0.896296296,68.76927948,20.96256447,111.2520065,33.47,2.34,16.66,1.24,3.38
243,37,1.63586883,3.684166505,2.948976636,0.760585219,2969,0.98534279,73.12767029,17.40139198,123.0404053,0.992592593,66.28743744,13.82187748,51.88621521,0.977777778,87.63578033,18.19788361,107.2462234,0.74023569,176.1406097,79.92220306,31.80764008,0.6,119.3831406,30.015131,47.65808487,0.262962963,0.118518519,0.011111111,0.607407407,180.7584076,39.85079193,15.43742466,0.885185185,315.97052,81.78352356,19.28598404,0.822222222,191.1721039,70.38938141,24.07338524,0.359259259,146.9040985,66.37289429,25.85708618,0.92962963,119.5993652,29.05887032,73.4925766,31.37,2.4,13.43,1.36,2.51
245,38,1.130712251,2.787438297,2.522269368,0.770960242,1376.5,0.840740741,51.12681198,24.25184059,121.6462326,0.976851852,51.07579422,12.91425037,64.82454681,0.27962963,112.5628357,29.59549713,39.93670273,0.150661376,162.2886353,36.03076935,7.85710001,0,NA,NA,NA,0,0.564814815,0.412037037,0.45,174.8513031,55.16446304,13.31862354,0.916666667,313.8430786,102.2327652,27.98175049,0.3,240.3778076,54.36577606,2.269331217,0.391666667,85.68674469,19.2454586,35.02419281,0.848148148,113.6024246,32.68510437,71.09037018,23.05,1.69,NA,0.68,2.48
246,39,1.715966387,3.932347298,2.794568539,0.805655122,1549.5,0.992508418,64.1710434,14.76186848,132.7868958,0.992420327,53.61835098,7.548537731,65.4211731,0.866666667,110.8330002,42.79044724,74.96501923,0.948148148,127.2864151,28.48886108,66.31541443,0,NA,NA,NA,0.425,0.575,0,0.733333333,175.0728149,44.13737106,22.83114815,0.984259259,355.513031,55.93893433,8.153855324,0.122619048,297.4478149,46.67393494,0.297282338,0.739814815,166.5761566,49.5438118,36.53279877,0.875,87.56932831,17.11210823,95.17185211,29.89,2.58,14.98,1.41,2.3
247,40,1.380216273,3.605277674,2.81250906,0.783687443,6376.5,0.95530303,50.6844635,11.28573608,141.4747467,0.977938808,50.88630676,10.07377815,66.57540131,0.922222222,77.73130035,22.04232597,110.9206772,0.962962963,121.8736496,32.25117493,72.2972641,0.164975845,95.8904953,29.99286652,30.99780846,0.184541063,0.561594203,0.066827697,0.759259259,171.0130005,46.42842484,23.94926262,0.97037037,226.1346283,55.59220505,71.62863159,0.511111111,236.0026245,79.56812286,4.234879971,0.822222222,143.2342529,46.4984169,45.19110107,0.981481481,85.32191467,21.49645805,109.8751221,25.28,1.73,9.87,0.88,3.04
248,41,1.381258741,3.46378765,2.737485886,0.782456338,8358.5,1,49.47036743,9.065217018,149.5270538,1,45.30687332,8.197871208,74.04245758,0.996212121,51.52603149,11.94604969,146.4751129,0.962962963,111.4956665,38.2230072,84.22260284,0.940740741,71.60161591,24.69828606,117.6818542,0.048148148,0,0.011111111,0.781954295,157.860611,52.08836746,34.72584534,0.974074074,300.9729309,77.17288971,25.73451424,0.766666667,189.3334503,75.91101074,20.16391182,0.825925926,126.0954971,50.46818542,63.73962021,0.897020934,78.47785187,25.09451866,103.1452026,18.59,1.76,9.75,0.91,1.89
249,42,1.896144419,3.567765828,2.810551882,0.784190148,4147,0.996296296,66.2135849,19.77487946,130.9226074,0.988888889,56.11539078,15.11730671,61.27287674,0.937198068,73.81661987,21.70288086,115.0911179,0.874074074,138.8942413,49.35389328,52.48771667,0.417310789,73.99308014,30.1665535,60.99598312,0.136553945,0.423913043,0.011111111,0.574074074,183.1238556,46.57570267,13.81788921,0.977777778,351.2174377,70.06565094,10.45570469,0.366666667,170.9146118,88.07913971,13.76489162,0.425925926,155.8590851,50.17884827,22.55359459,0.951851852,88.23183441,27.90427589,102.8077164,29.06,2.34,11.18,1.05,2.17
