id,bin.122.tsv,bin.123.tsv,bin.126.tsv,bin.12.tsv,bin.132.tsv,bin.188.tsv,bin.195.tsv,bin.224.tsv,bin.225.tsv,bin.248.tsv,bin.254.tsv,bin.258.tsv,bin.264.tsv,bin.269.tsv,bin.274.tsv,bin.287.tsv,bin.300.tsv,bin.32.tsv,bin.349.tsv,bin.368.tsv,bin.375.tsv,bin.391.tsv,bin.443.tsv,bin.469.tsv,bin.479.tsv,bin.481.tsv,bin.492.tsv,bin.516.tsv,bin.518.tsv,bin.523.tsv,bin.69.tsv,bin.72.tsv,bin.73.tsv
p205,0.0166615498471152,0.296925641802607,0.0565854628254974,0.263989356024931,0.0552888098382953,0.0807193178964621,0.102785166976918,0.166952544682648,0.0437909379415752,0.0341261610394728,0.0561061236886245,0.08088459124535,0.0372684437977531,0.0828711211888651,0.000709038915513425,0.102978295384607,0.095452322747467,0.00102397981659579,0.0801176486263533,0.00620290376917478,0.0174987568519382,0.311985943594527,0.0304546321639671,0.0553008803637759,0.0569517568487349,0.203866068606174,0.0599062500855963,0.0544067329762531,0.62805961706815,0.0857028200415105,0.0139709600798475,0.135935472456384,0.0265997241513527
p206,0.0708249974730866,0.162799089395913,0.0609527747730956,0.212494832095104,0.0624080811285083,0.0755801709793845,0.125892266274797,0.251055226065567,0.0200466697953395,0.0243047932894915,0.0668694951678089,0.0722911495179607,0.0191504455052117,0.0761556538433671,0.000740681231510579,0.121305730013173,0.074919245244767,0.0256249253201535,0.0756190567440388,0.0407493715385883,0.0197421969033864,0.296960268033492,0.0423013632476142,0.0697639716089477,0.0705154985299197,0.0559318818749933,0.0556121985648931,0.0625203736937855,0.323075894669521,0.4729977117976,0.0237671380741182,0.158278288593586,0.0229190580640386
p207,0.0287806925724575,0.0181462908330178,0.045322561921495,0.17238242789765,0.0719598134187444,0.0503728245371103,0.0776142658346954,0.00689496404005335,0.0521442492739681,0.0383169481239258,0.0651420446057141,0.0592803994167254,0.0333139528903392,0.0795683924730735,0.000797067658971472,0.0644560552945101,0.0121466885647713,0.0121326797862633,0.173699546967859,0.0657783174477377,0.0183107960170006,0.220182241473136,0.0874108593503943,0.0836404896802815,0.0444737083146999,0.153391471396866,0.0643576019910099,0.0414838627198484,0.66617619614641,0.119103516546278,0.0120413533263747,0.557843275076081,0.0246941457510542
p208,0.0189607130168289,0.00774777195169946,0.043051250928946,0.135747653522393,0.068031818696626,0.0926313699064409,0.173854480894353,0.00185198353574057,0.157513563775733,0.0387460353333061,0.0494183776426155,0.063897394710399,0.172693459961327,0.0751250360071637,0.000599433297666632,0.0387051798082686,0.0294092549658856,0.00100797174038848,0.128324876929195,0.0379833557693949,0.027387811503985,0.460415909244881,0.135214980221271,0.0180501261091111,0.0944100074315683,0.0669574218198499,0.0569785891190876,0.0378123055807096,0.224060232421393,0.052901569731331,0.0294837257963337,0.388168860539407,0.0241193695009885
p209,0.115436030413445,0.178980224241433,0.0902360312462569,0.455091398356377,0.085707828386168,0.0494945277239932,0.0738436564560373,0.427173075289648,0.0428876940680373,0.0345315302839978,0.0771160552856305,0.0506704497860459,0.0372294587873416,0.066252744933518,0.000463532118053822,0.18121033334448,0.0652947986683336,0.0314293055414334,0.0999514632060891,0.0452915889428569,0.0107052460315764,0.201576836064737,0.0414374964175274,0.101692507704467,0.0334760685307407,0.258664612283731,0.0493978620440954,0.0674290918996582,1.34430942739373,0.370905151507413,0.00941075448391723,0.181633112911505,0.0220820529733875
p210,0.17795497397361,0.0854107420018623,0.0756171606481833,0.256007750408918,0.0491259842615936,0.0531473756746909,0.0913768477425367,0.118790374353063,0.00995307571017356,0.0348956760777135,0.0781847391932503,0.0348192765862729,0.066003326461639,0.0399983286569436,0.000590990349660747,0.0765822945873266,0.0244881761924516,0.00279599913365755,0.0906945308298896,0.0832015465257345,0.00781619582539844,0.354779791106566,0.0227237368830408,0.0290270838697504,0.0563547652335307,0.252904264158437,0.0421747418058351,0.0617394013902596,0.673654599399406,0.0716682792978714,0.00712590558400827,0.520966743051341,0.0155732445536053
p211,0.229393201270544,0.146096992127293,0.0864456442307108,0.295917602695983,0.058728205651994,0.0596316523416648,0.0872063560753349,0.511062576114631,0.0338098529956221,0.0272873803442903,0.0797964248906769,0.0320652902547831,0.0783371001275206,0.0493243891724869,0.00135657189459143,0.145006321809704,0.0479832377388335,0.0593306579200484,0.10361553387026,0.0671546591827883,0.0192066417303949,0.259325578784004,0.0319508243238528,0.0780182638502734,0.0395312958428523,0.215999528789641,0.0290115523929798,0.0941644480589521,1.07209856786437,0.169078229029459,0.0133337053089901,0.260067058498532,0.0154328343808202
p212,0.150290870544654,0.10436700089796,0.0695515305309542,0.381928349215605,0.0605189093288745,0.0603897230510132,0.0767144234534493,0.0400002852284845,0.0223765913353235,0.0393719491028291,0.071029301161042,0.0668677897908669,0.0499893016166667,0.0800281209355809,0.000433568132866096,0.0935417464530842,0.0423115157157422,0.0282005773006004,0.0867066810744094,0.0760402470356495,0.0126527772433602,0.199136943057235,0.0252931914988391,0.0376429829324553,0.0398342878069314,0.259555605686623,0.0596363679467823,0.0649848650635437,0.788077967947079,0.117036748310079,0.0111584763261052,0.3148903947039,0.0267570711313074
p213,0.122781511083829,0.0921298905899081,0.0609018811364049,0.248507132476393,0.0435752065273062,0.0834764112466221,0.160812117357701,0.135956173355106,0.057958173193435,0.0366440538447477,0.0439657025030651,0.0396503296643074,0.064150783512773,0.0674336857963557,0.000713283852269156,0.118062565381922,0.0220977266776832,0.143583821178353,0.086468604264377,0.0687514336795195,0.0346211599569292,0.52776708043682,0.00921594644736981,0.0464203348576424,0.0722246549703499,0.130188863650273,0.0395169454129277,0.0488719494689758,0.338832211423575,0.124159815014753,0.00722821932748666,0.679418737586262,0.0188864656187104
p214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
p215,0.130703008945114,0.144826654392701,0.0479660621194908,0.170465017274508,0.0341073624018016,0.0767258747806266,0.183063603603762,0.184573608987441,0.0121940345801423,0.034323441393055,0.0403991286991021,0.044090536031994,0.0400051840430227,0.0411916499296157,0.000454771007915161,0.0969045954975808,0.0337083226355319,0.00306406031091196,0.0712428414280816,0.0536336774184763,0.0494373909849066,0.525958961110738,0.0203293507018537,0.0201213775677213,0.0779885357241567,0.131194223886645,0.0388872705480815,0.0474414973658049,0.722546839926969,0.0318029830202674,0.00642718043040434,0.5799879727608,0.0158397480384636
p216,0.105461668866352,0.0760233792425152,0.0774494729113854,0.27050400744024,0.0659855522930468,0.077943864787882,0.106537150325224,0.223654286807475,0.0519937845148821,0.0498915442748227,0.0697906978854835,0.0668857276469192,0.0815689275422132,0.0947185572737465,0.000542811231628087,0.091883088501878,0.0209136123041002,0.00186562954237464,0.186008136687173,0.0625857125046752,0.015966540895284,0.268414186706256,0.0368071169501897,0.0485951389097871,0.0525856217467462,0.228864269606459,0.0722022315941726,0.0660841918316909,0.47958161550069,0.192099904417571,0.0116290761654871,0.450118725701356,0.0286811774264968
p217,0.0795995828275402,0.0399425533006206,0.0330196703653678,0.105478166834789,0.0406728188206329,0.0765870505565149,0.101733231889757,0.00286301697755133,0.00775878797722649,0.019674853391236,0.0162746200140197,0.00967427635965737,0.0200161355126605,0.0394202328642993,0.00698654875275693,0.0319421173212057,0.040492229308075,0.00964380054369198,0.10859905281335,0.0877776163039204,0.0371672451230146,0.388801740498213,0.000942861050795876,0.0903345073432611,0.039639291148763,0.0898912616047462,0.0091787985775103,0.0134476354528202,1.42926875138915,0.342327189727983,0.0106937629297817,0.859623177007642,0.00895097796166801
p218,0.0602841690810755,0.201586279052521,0.0682656841483099,0.412411961138176,0.0698841539004759,0.080281886034627,0.107770343907378,0.185922563710547,0.0236688437297253,0.0316131305889379,0.0560635539545015,0.061124888384514,0.0185189274378828,0.0604252108063234,0.00050282332347658,0.112073712022069,0.0704866126725756,0.0490986880651854,0.0895074614476378,0.131311122601509,0.021722553014351,0.264392606043912,0.02845447668776,0.0599942145237408,0.0535862826264292,0.225279587033232,0.0400481915961852,0.0391428015770975,0.710401429427039,0.148326753726214,0.00840655483653349,0.199978658663836,0.0227083559627655
p219,0.11866322860358,0.115665494756609,0.0771734703035575,0.35714131612921,0.073273503786702,0.0726679162438125,0.0852517104018668,0.295156507811583,0.0218742880516952,0.034367039123501,0.076317190660619,0.0395761275535213,0.0514374020531726,0.0672102931328487,0.000431483821082645,0.102415058094982,0.0394494870520335,0.00250178634301928,0.102197805991067,0.045101062140574,0.0181192353761503,0.258284057880966,0.0255321921449233,0.0524162231012986,0.0429878701268217,0.202158152627909,0.0369112834745148,0.0579847375542807,0.720957686970569,0.0869487362701848,0.00801474725403696,0.300550055575116,0.0215229739245697
p222,0.0703406675113694,0.118860535762373,0.0404425262794835,0.282552992666963,0.0424202667759785,0.0683278546271771,0.113182016795739,0.119399025227141,0.0140494211003012,0.0254187129836611,0.0635903021597405,0.0717230328410995,0.0224942318753599,0.101696237536899,0.000489924900608275,0.10347530578845,0.0716107584292634,0.00146148350383076,0.061833688790557,0.0132749201290527,0.0077280081586928,0.309203730196505,0.0256832528835491,0.0282416124812534,0.0663674364685082,0.104263792943572,0.0632684488458105,0.0561290793891725,0.473917777320791,0.0559182173509432,0.0108375602689043,0.445793571795915,0.0265217823479475
p223,0.0169024659304172,0.266595494015594,0.066028431763873,0.253821906625076,0.0796122047086226,0.117329554979617,0.073739688009476,0.00798665652896025,0.0990387827177034,0.0289113531393507,0.0452022666643864,0.0736073142218436,0.0651887761328322,0.0840042123851428,0.000628050817234217,0.0897293787002459,0.061597291690279,0.00128344841639885,0.113191183210057,0.11616935187378,0.0253423335914139,0.193685074642873,0.0629364892790276,0.0180083426405633,0.0444213096289563,0.286480549121255,0.044273234570893,0.0270916966754178,0.493913656153386,0.0472001929372111,0.0254754320530662,0.0678792492106609,0.0243717535207804
p224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
